"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"GET","/activities","Covered","OK","Get-IMActivity","getActivities","Activities","Activity","Activity","False","True","False","False",,"This endpoint requires the `activity.read` permission.",""
"POST","/activities","Covered","OK","Add-IMActivity","createActivity","Activities","Activity","Activity","False","True","False","False",,"This endpoint requires the `activity.create` permission.",""
"GET","/activities/statistics","Covered","OK","Get-IMActivityStatistic","getActivityStatistics","Activities","Activity","Activity","False","True","False","False",,"This endpoint requires the `activity.statistics` permission.",""
"DELETE","/activities/{id}","Covered","OK","Remove-IMActivity","deleteActivity","Activities","Activity","Activity","False","True","False","False",,"This endpoint requires the `activity.delete` permission.",""
"POST","/admin/auth/unlink-all","Missing","N/A","","unlinkAllOAuthAccountsAdmin","Auth (admin)","Auth","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `adminAuth.unlinkAll` permission.",""
"POST","/admin/notifications","Missing","N/A","","createNotification","Notifications (Admin)","Notification","","False","False","False","False",,,""
"POST","/admin/notifications/templates/{name}","Missing","N/A","","getNotificationTemplateAdmin","Notifications (Admin)","Notification","","False","False","False","False",,,""
"POST","/admin/notifications/test-email","Missing","N/A","","sendTestEmailAdmin","Notifications (Admin)","Notification","","False","False","False","False",,,""
"GET","/admin/users","Covered","OK","Get-IMUser","searchUsersAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.read` permission.",""
"POST","/admin/users","Covered","OK","New-IMUser","createUserAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.create` permission.",""
"DELETE","/admin/users/{id}","Covered","OK","Remove-IMUser","deleteUserAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.delete` permission.",""
"GET","/admin/users/{id}","Covered","OK","Get-IMUser, Get-IMUserPreference","getUserAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.read` permission.",""
"PUT","/admin/users/{id}","Covered","OK","Set-IMUser, Set-IMUserPreference","updateUserAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.update` permission.",""
"GET","/admin/users/{id}/preferences","Covered","OK","Get-IMUserPreference","getUserPreferencesAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.read` permission.",""
"PUT","/admin/users/{id}/preferences","Covered","OK","Set-IMUserPreference","updateUserPreferencesAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.update` permission.",""
"POST","/admin/users/{id}/restore","Covered","OK","Restore-IMUser","restoreUserAdmin","Users (admin)","User","User","False","True","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.delete` permission.",""
"GET","/admin/users/{id}/sessions","Missing","N/A","","getUserSessionsAdmin","Users (admin)","User","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `adminSession.read` permission.",""
"GET","/admin/users/{id}/statistics","Missing","N/A","","getUserStatisticsAdmin","Users (admin)","User","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.read` permission.",""
"GET","/albums","Covered","OK","Get-IMAlbum","getAllAlbums","Albums","Album","Album","False","True","False","False",,"This endpoint requires the `album.read` permission.",""
"POST","/albums","Covered","OK","New-IMAlbum","createAlbum","Albums","Album","Album","False","True","False","False",,"This endpoint requires the `album.create` permission.",""
"PUT","/albums/assets","Missing","N/A","","addAssetsToAlbums","Albums","Album","","False","False","False","False",,"This endpoint requires the `albumAsset.create` permission.",""
"GET","/albums/statistics","Covered","OK","Get-IMAlbumStatistic","getAlbumStatistics","Albums","Album","Album","False","True","False","False",,"This endpoint requires the `album.statistics` permission.",""
"DELETE","/albums/{id}","Covered","Wrong Folder (Album, Asset | Album)","Remove-IMAlbum, Remove-IMAlbumUser, Set-IMAlbum, Set-IMAsset","deleteAlbum","Albums","Album","Album, Asset","True","True","False","False",,"This endpoint requires the `album.delete` permission.",""
"GET","/albums/{id}","Covered","OK","Get-IMAlbum, Get-IMAlbumStatistic","getAlbumInfo","Albums","Album","Album","False","True","False","False",,"This endpoint requires the `album.read` permission.",""
"PATCH","/albums/{id}","Covered","OK","Rename-IMAlbum, Set-IMAlbum","updateAlbumInfo","Albums","Album","Album","False","True","False","False",,"This endpoint requires the `album.update` permission.",""
"DELETE","/albums/{id}/assets","Covered","Wrong Folder (Album, Asset | Album)","Set-IMAlbum, Set-IMAsset","removeAssetFromAlbum","Albums","Album","Album, Asset","True","True","False","False",,"This endpoint requires the `albumAsset.delete` permission.",""
