"Method";"Path";"Parameters"
"GET";"/activities";"albumId(True,query),assetId(False,query),level(False,query),type(False,query),userId(False,query)"
"POST";"/activities";""
"GET";"/activities/statistics";"albumId(True,query),assetId(False,query)"
"DELETE";"/activities/{id}";"id(True,path)"
"GET";"/admin/users";"withDeleted(False,query)"
"POST";"/admin/users";""
"DELETE";"/admin/users/{id}";"id(True,path)"
"GET";"/admin/users/{id}";"id(True,path)"
"PUT";"/admin/users/{id}";"id(True,path)"
"GET";"/admin/users/{id}/preferences";"id(True,path)"
"PUT";"/admin/users/{id}/preferences";"id(True,path)"
"POST";"/admin/users/{id}/restore";"id(True,path)"
"GET";"/albums";"assetId(False,query),shared(False,query)"
"POST";"/albums";""
"GET";"/albums/count";""
"DELETE";"/albums/{id}";"id(True,path)"
"GET";"/albums/{id}";"id(True,path),key(False,query),withoutAssets(False,query)"
"PATCH";"/albums/{id}";"id(True,path)"
"DELETE";"/albums/{id}/assets";"id(True,path)"
"PUT";"/albums/{id}/assets";"id(True,path),key(False,query)"
"DELETE";"/albums/{id}/user/{userId}";"id(True,path),userId(True,path)"
"PUT";"/albums/{id}/user/{userId}";"id(True,path),userId(True,path)"
"PUT";"/albums/{id}/users";"id(True,path)"
"GET";"/api-keys";""
"POST";"/api-keys";""
"DELETE";"/api-keys/{id}";"id(True,path)"
"GET";"/api-keys/{id}";"id(True,path)"
"PUT";"/api-keys/{id}";"id(True,path)"
"DELETE";"/assets";""
"POST";"/assets";"key(False,query),x-immich-checksum(False,header)"
"PUT";"/assets";""
"POST";"/assets/bulk-upload-check";""
"GET";"/assets/device/{deviceId}";"deviceId(True,path)"
"POST";"/assets/exist";""
"POST";"/assets/jobs";""
"GET";"/assets/memory-lane";"day(True,query),month(True,query)"
"GET";"/assets/random";"count(False,query)"
"PUT";"/assets/stack/parent";""
"GET";"/assets/statistics";"isArchived(False,query),isFavorite(False,query),isTrashed(False,query)"
"GET";"/assets/{id}";"id(True,path),key(False,query)"
"PUT";"/assets/{id}";"id(True,path)"
"GET";"/assets/{id}/original";"id(True,path),key(False,query)"
"PUT";"/assets/{id}/original";"id(True,path),key(False,query)"
"GET";"/assets/{id}/thumbnail";"id(True,path),key(False,query),size(False,query)"
"GET";"/assets/{id}/video/playback";"id(True,path),key(False,query)"
"GET";"/audit/deletes";"after(True,query),entityType(True,query),userId(False,query)"
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";"key(False,query)"
"POST";"/download/info";"key(False,query)"
"GET";"/duplicates";""
"GET";"/faces";"id(True,query)"
"PUT";"/faces/{id}";"id(True,path)"
"GET";"/jobs";""
"PUT";"/jobs/{id}";"id(True,path)"
"GET";"/libraries";""
"POST";"/libraries";""
"DELETE";"/libraries/{id}";"id(True,path)"
