"Method";"Path";"Parameters"
"GET";"/activity";"albumId(True,query),assetId(False,query),level(False,query),type(False,query),userId(False,query)"
"POST";"/activity";""
"GET";"/activity/statistics";"albumId(True,query),assetId(False,query)"
"DELETE";"/activity/{id}";"id(True,path)"
"GET";"/album";"assetId(False,query),shared(False,query)"
"POST";"/album";""
"GET";"/album/count";""
"DELETE";"/album/{id}";"id(True,path)"
"GET";"/album/{id}";"id(True,path),key(False,query),withoutAssets(False,query)"
"PATCH";"/album/{id}";"id(True,path)"
"DELETE";"/album/{id}/assets";"id(True,path)"
"PUT";"/album/{id}/assets";"id(True,path),key(False,query)"
"DELETE";"/album/{id}/user/{userId}";"id(True,path),userId(True,path)"
"PUT";"/album/{id}/users";"id(True,path)"
"GET";"/api-key";""
"POST";"/api-key";""
"DELETE";"/api-key/{id}";"id(True,path)"
"GET";"/api-key/{id}";"id(True,path)"
"PUT";"/api-key/{id}";"id(True,path)"
"DELETE";"/asset";""
"GET";"/asset";"if-none-match(False,header),isArchived(False,query),isFavorite(False,query),skip(False,query),take(False,query),updatedAfter(False,query),updatedBefore(False,query),userId(False,query)"
"PUT";"/asset";""
"POST";"/asset/bulk-upload-check";""
"GET";"/asset/curated-locations";""
"GET";"/asset/curated-objects";""
"GET";"/asset/device/{deviceId}";"deviceId(True,path)"
"POST";"/asset/exist";""
"GET";"/asset/file/{id}";"id(True,path),isThumb(False,query),isWeb(False,query),key(False,query)"
"POST";"/asset/jobs";""
"GET";"/asset/map-marker";"fileCreatedAfter(False,query),fileCreatedBefore(False,query),isArchived(False,query),isFavorite(False,query),withPartners(False,query)"
"GET";"/asset/memory-lane";"day(True,query),month(True,query)"
"GET";"/asset/random";"count(False,query)"
"GET";"/asset/search-terms";""
"PUT";"/asset/stack/parent";""
"GET";"/asset/statistics";"isArchived(False,query),isFavorite(False,query),isTrashed(False,query)"
"GET";"/asset/thumbnail/{id}";"format(False,query),id(True,path),key(False,query)"
"GET";"/asset/time-bucket";"albumId(False,query),isArchived(False,query),isFavorite(False,query),isTrashed(False,query),key(False,query),personId(False,query),size(True,query),timeBucket(True,query),userId(False,query),withPartners(False,query),withStacked(False,query)"
"GET";"/asset/time-buckets";"albumId(False,query),isArchived(False,query),isFavorite(False,query),isTrashed(False,query),key(False,query),personId(False,query),size(True,query),userId(False,query),withPartners(False,query),withStacked(False,query)"
"POST";"/asset/upload";"key(False,query)"
"GET";"/asset/{id}";"id(True,path),key(False,query)"
"PUT";"/asset/{id}";"id(True,path)"
